argument_id	context_version	annotator_id	convincingness_rating
1	1	11	5
1	2	11	1
1	4	11	1
1	5	11	1
1	7	11	1
2	2	11	1
2	3	11	1
2	5	11	1
2	7	11	1
3	1	11	4
3	3	11	1
3	5	11	2
3	6	11	2
4	1	11	5
4	4	11	2
4	5	11	2
4	7	11	2
5	3	11	2
5	4	11	2
6	1	11	4
6	3	11	2
6	4	11	2
6	6	11	2
7	2	11	1
7	4	11	1
7	6	11	2
8	2	11	2
8	3	11	2
8	6	11	2
9	2	11	2
9	3	11	2
9	5	11	1
1	1	11	5
1	3	11	1
1	5	11	1
1	6	11	1
2	1	11	4
2	3	11	1
2	4	11	1
2	6	11	1
3	1	11	4
3	2	11	1
3	4	11	1
3	6	11	2
3	7	11	2
4	3	11	2
4	5	11	2
4	6	11	1
5	1	11	5
5	4	11	2
5	6	11	2
6	2	11	2
6	4	11	2
6	5	11	3
7	1	11	4
7	4	11	1
7	5	11	1
8	1	11	4
8	3	11	2
8	5	11	1
9	1	11	5
9	3	11	2
9	4	11	1
9	6	11	1
1	2	11	1
1	4	11	1
1	6	11	1
1	7	11	1
2	2	11	1
2	4	11	1
2	5	11	1
2	7	11	1
3	2	11	1
3	3	11	1
3	5	11	2
3	7	11	1
4	1	11	5
4	4	11	2
4	6	11	2
4	7	11	2
5	3	11	2
5	6	11	2
6	1	11	4
6	3	11	2
6	5	11	3
6	6	11	2
7	2	11	1
7	5	11	1
7	6	11	2
8	2	11	2
8	5	11	1
8	6	11	2
9	2	11	2
9	4	11	1
9	5	11	1
1	1	11	5
1	2	11	1
1	3	11	1
1	5	11	1
1	7	11	1
2	1	11	4
2	3	11	1
2	5	11	1
2	6	11	1
3	1	11	5
3	3	11	1
3	4	11	2
3	6	11	2
4	1	11	4
4	3	11	2
4	5	11	2
4	7	11	2
5	1	11	5
5	4	11	2
6	1	11	4
6	2	11	2
6	4	11	2
6	6	11	2
7	1	11	4
7	4	11	2
7	6	11	1
8	1	11	5
8	3	11	2
8	6	11	2
9	1	11	5
9	3	11	2
9	5	11	1
9	6	11	1
1	3	11	1
1	4	11	1
1	6	11	1
2	1	11	4
2	2	11	1
2	4	11	1
2	6	11	1
2	7	11	1
3	2	11	1
3	4	11	2
3	5	11	2
3	7	11	1
4	3	11	2
4	4	11	2
4	6	11	2
5	1	11	5
5	3	11	2
5	6	11	2
6	2	11	2
6	3	11	2
6	5	11	2
7	1	11	4
7	2	11	1
7	5	11	1
8	1	11	5
8	2	11	2
8	5	11	1
9	1	11	5
9	2	11	2
9	4	11	1
9	6	11	1
1	1	12	5
1	2	12	1
1	4	12	1
1	5	12	1
1	7	12	1
2	2	12	1
2	3	12	2
2	5	12	1
2	7	12	1
3	1	12	4
3	3	12	1
3	5	12	2
3	6	12	2
4	1	12	4
4	4	12	2
4	5	12	2
4	7	12	2
5	3	12	2
5	4	12	2
6	1	12	4
6	3	12	2
6	4	12	2
6	6	12	2
7	2	12	1
7	4	12	1
7	6	12	2
8	2	12	2
8	3	12	2
8	6	12	2
9	2	12	2
9	3	12	2
9	5	12	1
1	1	12	5
